"week","General Message Type","SMS Message Topic","General Message Type","SMS Message Topic","General Message Type","SMS Message Topic","text","Charac count (max 140)","hiv","Charac count (max 140)","Source/Notes","Source/Notes"
10,"Parent tip","Getting rounder",,,"Parent tip","Getting rounder","Hello from MAMA. Most women start to look rounder now, and their breasts get heavier. Enjoy your new shape - it is caused by your baby!
Visit askmama.mobi",154,,,"http://www.babycentre.co.uk/",
10,"Health indicator","ART/ARV","Health Indicator","ART/ARV","Health indicator","ART/ARV","You need extra care in pregnancy. Folic acid pills are important & available at the clinic. Also check if you need iron and HIV pills by testing at the clinic.",159,,,"Department of Health Republic of South Africa. 2007. Guidelines for Maternity Care in South Africa
http://www.who.int/mediacentre/factsheets/fs290/en/
 http://www.who.int/making_pregnancy_safer/countries/soa.pdf
Who, 2008; http://www.who.int/mediacentre/factsheets/fs134/en/
USAID. Counselling cards for maternal and neonatal health for community health workers
","Department of Health Republic of South Africa. 2007. Guidelines for Maternity Care in South Africa
http://www.who.int/mediacentre/factsheets/fs290/en/
 http://www.who.int/making_pregnancy_safer/countries/soa.pdf
Who, 2008; http://www.who.int/mediacentre/factsheets/fs134/en/
USAID. Counselling cards for maternal and neonatal health for community health workers
"
11,"Fetal development","11 week update",,,"Fetal development","11 week update","Your baby is just the size of your thumb. Keep her safe by not smoking or drinking alcohol, as they can make her weaker and less healthy.
Visit askmama.mobi",156,,,"http://www.babycentre.co.uk/",
11,"Health indicator","Preventing infections","Health Indicator","Hygiene-handwashing","Health indicator","Preventing infections","Hello from MAMA - how are you? Being pregnant makes you more at risk of infections. Wash your hands often and go to the clinic if you are getting sick often.",157,"Good day from MAMA
HIV makes a person more at risk of infections. Cook foods well, wash hands often and go to the clinic when you feel sick. You can be healthy!",160,"Van Wyk, R. 2007. ""A review of health and hygiene promotion as part of sanitation delivery programmes to informal settlements in the City of Cape Town"". CPUT Theses & Dissertations. Paper 48.
http://dk.cput.ac.za/td_cput/48
Duse, AG et al. 2003. Coping with hygiene in South Africa, a water scarce country. International Journal of Environmental Health Research. Volume 13, Supplement 001: S95-S105.
24th WEDC Conference. 1998. Sanitation and Water for All. Operation and Maintenance of Water and Sanitation Facilities. Ntombentle Zungula, South Africa.
Langiano, E. 2011. Food safety at home: knowledge and practices of consumers. Journal of Public Health: 1-11.
FDA. Food Safety for Moms-to-Be- Educator’s Resource Guide. www.cfsan.fda.gov/pregnancy.html Journal of Diarrhoeal Diseases Research, 14:2. 1996.
UNICEF, The London School of Hygiene and Tropical Medicine. 1999. Towards Better programming - A manual on hygiene promotion.
Phaswana-Mafuya, N. and Shukla N. Factors that could motivate people to adopt safe hygienic practices in the Eastern Cape Province, South Africa. Afr Health Sci. 2005 March; 5(1): 21–28
Ejemot et al. 2008. 'Handwashing to prevent Diarrhoea', Cochrane Database of Systematic Reviews, 23;(1):CD004265
Fewtrell, Kaufmann et al (2005). 'Water, sanitation, and hygiene interventions to reduce diarrhea in less developed countries: A systematic review and meta analysis', The Lancet Infectious Diseases, 5 (1):42-52.
","Van Wyk, R. 2007. ""A review of health and hygiene promotion as part of sanitation delivery programmes to informal settlements in the City of Cape Town"". CPUT Theses & Dissertations. Paper 48.
http://dk.cput.ac.za/td_cput/48
Duse, AG et al. 2003. Coping with hygiene in South Africa, a water scarce country. International Journal of Environmental Health Research. Volume 13, Supplement 001: S95-S105.
24th WEDC Conference. 1998. Sanitation and Water for All. Operation and Maintenance of Water and Sanitation Facilities. Ntombentle Zungula, South Africa.
Langiano, E. 2011. Food safety at home: knowledge and practices of consumers. Journal of Public Health: 1-11.
FDA. Food Safety for Moms-to-Be- Educator’s Resource Guide. www.cfsan.fda.gov/pregnancy.html Journal of Diarrhoeal Diseases Research, 14:2. 1996.
UNICEF, The London School of Hygiene and Tropical Medicine. 1999. Towards Better programming - A manual on hygiene promotion.
Phaswana-Mafuya, N. and Shukla N. Factors that could motivate people to adopt safe hygienic practices in the Eastern Cape Province, South Africa. Afr Health Sci. 2005 March; 5(1): 21–28
Ejemot et al. 2008. 'Handwashing to prevent Diarrhoea', Cochrane Database of Systematic Reviews, 23;(1):CD004265
Fewtrell, Kaufmann et al (2005). 'Water, sanitation, and hygiene interventions to reduce diarrhea in less developed countries: A systematic review and meta analysis', The Lancet Infectious Diseases, 5 (1):42-52.
"
12,"Parent tip","Dizziness",,,"Parent tip","Dizziness","Feeling dizzy? Sit down, eat and drink something, until you feel better. Try to eat regular small meals, even if you have little appetite.
Visit askmama.mobi",157,,,"http://www.babycentre.co.uk/",
12,"Health indicator","CD4 test","Health Indicator","ANC","Health indicator","CD4 test","Hi. Blood tests will pick up if you lack iron or have an infection. It's important to test for HIV as there are free drugs that help the baby be born healthy.",158,"A MAMA reminder: You can help stop your baby getting HIV. Go to all clinic check ups, take the right medicines, and feed breastmilk ONLY for the first 6 months.",160,"Department of Health Republic of South Africa. 2007. Guidelines for Maternity Care in South Africa
http://www.who.int/mediacentre/factsheets/fs290/en/
 http://www.who.int/making_pregnancy_safer/countries/soa.pdf
Who, 2008; http://www.who.int/mediacentre/factsheets/fs134/en/
USAID. Counselling cards for maternal and neonatal health for community health workers
","Department of Health Republic of South Africa. 2007. Guidelines for Maternity Care in South Africa
http://www.who.int/mediacentre/factsheets/fs290/en/
 http://www.who.int/making_pregnancy_safer/countries/soa.pdf
Who, 2008; http://www.who.int/mediacentre/factsheets/fs134/en/
USAID. Counselling cards for maternal and neonatal health for community health workers
"
13,"Fetal development","13 week update",,,"Fetal development","13 week update","Your baby is about the size of half a banana! He can curl his fingers up and he can yawn. What you eat and drink will affect his growth.
Visit askmama.mobi",155,,,"http://www.babycentre.co.uk/",
13,"Health indicator","TB",,,"Health indicator","TB","Hello from MAMA. Did you know: TB can be treated! Please ask for a test if you've had 1 of these: unexplained weight loss, coughing for 2 weeks & night sweats.",159,,,"Elzi, L., Schlegel, M. et al. 2007. Reducing Tuberculosis Incidence by Tuberculin Skin Testing, Preventive Treatment, and Antiretroviral Therapy in an Area of Low Tuberculosis Transmission. Clinical Infectious Diseases 44:94–102.
Payne, B. and Bellamy, R. 2009. HIV: treating tuberculosis. Clinical Evidence 11:920
Granich, R. and Getahun, H. Three I's for HIV/TB:
WHO 2011 guidelines for ICF/IPT. WHO. 2011.
NHS. Pregnancy and Tuberculosis - Patient and Public information sheet.
WHO. 2011. Guidelines for intensified tuberculosis case-finding and isoniazid preventive therapy for people living with HIV in resource constrained settings.
WHO. 2010. Global Tuberculosis control. WHO.
WHO. 2011. World Health Organization brief on antiretroviraltreatment (ART) in HIV and TB prevention.
WHO, 2009. Consultation on Antiretroviral Treatment for Prevention of HIV Transmission Meeting Report.
World Health Organization 2011. HIV/TB Facts.
Chaisson, R.E. and Martinson, N.A. 2008. Tuberculosis in Africa — Combating an HIV-Driven Crisis. New England Journal of Medicine 358,11.
CDC. 2008. Tuberculosis and Pregnancy.www.cdc.gov/tb
USAID. South Africa - Tuberculosis Profile.
TB Free. Working toward a TB-free South Africa.
The Nelson Mandela Aventis Project for Combating TB –an innovative public-private partnership in the fight against TB.
WHO. 2011. ART in prevention of HIV and TB.
",
14,"Parent Tip","Piles",,,"Parent Tip","Piles","If you've been nauseous (feeling like vomiting), hopefully that's starting to go away now. It's good to exercise, like walking and swimming.
Visit askmama.mobi",159,,,"http://www.babycentre.co.uk/",
14,"Health Indicator","UTIs",,,"Health Indicator","UTIs","Hope you're doing well. Drink plenty of clean water throughout the day. It can help prevent bladder infections. These can be painful and harm your baby.",152,"Hope you're well
You can look after your health, and that of your baby! Women with HIV can take medicines to stop the baby getting HIV. It's free at the clinic.",160,"Bercion, R., Mossoro-Kpinde D. et al. 2009. Increasing prevalence of antimicrobial resistance among Enterobacteriaceae uropathogens in Bangui, Central African Republic. J Infect Developing Countries 2009; 3(3):187-190.
Latif, A.S. Urinogenital infections in the tropics. 2004. The Australasian College of Tropical Medicine.
Stamm, W.E. and Norrby, S.R. 2001. Urinary Tract Infections: Disease Panorama and Challenges. Journal of Infectious Diseases, 183(Suppl 1):S1-4.
Mizouni, S. 2006. Is a short course of antibiotics better than a long course in the treatment of uncomplicated UTI? EVMS.
Okonko, I.O. et al. 2009.  Antibiotics Sensitivity and Resistance Patterns of Uropathogens to Nitrofurantoin and Nalidixic Acid in Pregnant Women with Urinary Tract Infections in Ibadan, Nigeria. Middle-East Journal of Scientific Research 4 (2): 105-109.
BC
Schieve et al (1994). 'Urinary Tract Infection During Pregnancy: It's Association with Maternal morbidity and Perinatal Outcome', American Journal of Public Health, 84 (3)
MCIP (USAID), http://www.mchip.net/
",
15,"Fetal Development","15 week update",,,"Fetal Development","15 week update","Your baby is growing hair now and even sucks her thumb! Eat healthy foods to help your baby grow like chicken, meat, fruits and vegetables.
Visit askmama.mobi",158,,,"http://www.babycentre.co.uk/",
15,"Health Indicator","PET",,,"Health Indicator","PET","You need lots of calcium to avoid problems later in your pregnancy. Make sure you get lots of dairy products and leafy green vegetables. Have a good day!
MAMA",158,"If you have recently been diagnosed with HIV, get support from someone you know who is HIV+, an HIV organisation or your clinic.
MAMA wishes you a good day",155,"Department of Health Republic of South Africa. 2007. Guidelines for Maternity Care in South Africa",
16,"Parent Tip","Eating well ",,,"Parent Tip","Eating well ","You may feel less sick by now and find that you're starting to get very hungry! Eat at least 5 portions of fresh fruits and vegetables daily.
Visit askmama.mobi",160,,,"Seumo, E.F. and Abdallah F. Nutritional Counseling for Pregnant Women in Tanzania. USAID, ACCESS.
Black R.E.  et al. Maternal and child undernutrition: global and regional exposures and health consequences.Lancet 2008; 371: 243-60 doi: 10.1016/S0140-6736(07)61690-0 pmid:18207566
Victora CG et.al. Worldwide timing of growth faltering: Revisiting implications for interventions.
Pediatrics 2010; 125:e473-e480.
Kramer MS. Determinants of low birth weight: methodological assessment and meta-analysis. Bull World Health Organ 1987; 65: 663–737
Kramer MS, Victora C. Low birth weight and perinatal mortality. In: Semba RD, Bloem MW, eds. Nutrition and health in developing countries. Humana Press, 2001
WHO. 2011. Background Paper 2 - A Review of health interventions with an effect on nutrition
pdf, 1.51Mb
Langiano, E. 2011. Food safety at home: knowledge and practices of consumers. Journal of Public Health: 1-11.
Blössner and de Onis,2005. “Malnutrition - Quantifying the health impact at national and local levels”, Environmental Burden of Disease Series, No. 12.
UNICEF (2008). Progress for Children - A Report Card on Maternal Mortality.
",
16,"Health Indicator","Hygiene",,,"Health Indicator","Hygiene","Good morning to you. Keeping clean helps to keep you safe from infections. Make sure to always wash your hands after using the toilet or handling blood.
MAMA",157,,,"Van Wyk, R. 2007. ""A review of health and hygiene promotion as part of sanitation delivery programmes to informal settlements in the City of Cape Town"". CPUT Theses & Dissertations. Paper 48.
http://dk.cput.ac.za/td_cput/48
Duse, AG et al. 2003. Coping with hygiene in South Africa, a water scarce country. International Journal of Environmental Health Research. Volume 13, Supplement 001: S95-S105.
24th WEDC Conference. 1998. Sanitation and Water for All. Operation and Maintenance of Water and Sanitation Facilities. Ntombentle Zungula, South Africa.
Langiano, E. 2011. Food safety at home: knowledge and practices of consumers. Journal of Public Health: 1-11.
FDA. Food Safety for Moms-to-Be- Educator’s Resource Guide. www.cfsan.fda.gov/pregnancy.html Journal of Diarrhoeal Diseases Research, 14:2. 1996.
UNICEF, The London School of Hygiene and Tropical Medicine. 1999. Towards Better programming - A manual on hygiene promotion.
Phaswana-Mafuya, N. and Shukla N. Factors that could motivate people to adopt safe hygienic practices in the Eastern Cape Province, South Africa. Afr Health Sci. 2005 March; 5(1): 21–28
Ejemot et al. 2008. 'Handwashing to prevent Diarrhoea', Cochrane Database of Systematic Reviews, 23;(1):CD004265
Fewtrell, Kaufmann et al (2005). 'Water, sanitation, and hygiene interventions to reduce diarrhea in less developed countries: A systematic review and meta analysis', The Lancet Infectious Diseases, 5 (1):42-52.
",
17,"Fetal Development","17 week update",,,"Fetal Development","17 week update","Good day to you. Inside you, your baby will just fit in the palm of your hand now. He even has tiny fingernails and eye lashes.
Visit askmama.mobi",147,,,"http://www.babycentre.co.uk/",
17,"Health Indicator","Pneumonia",,,"Health Indicator","Pneumonia","Did you know that smoke from cooking can cause chest problems and will affect you and your baby? Open doors and windows to let smoke out.
MAMA wishes you well",158,,,"WHO (2011) Background Paper 2 - A Review of health interventions with an effect on nutrition
pdf, 1.51Mb
",
18,"Fetal Development","18 week update",,,"Fetal Development","18 week update","Good day. Your baby is twice the size she was a month ago. She's moving more now and you will feel her soon. She can hear your heartbeat now.
Visit askmama.mobi",160,,,"http://www.babycentre.co.uk/",
18,"Health Indicator","HIV testing - take partner with you",,,"Health Indicator","HIV testing - take partner with you","Hope you're well!
You need to test for HIV in pregnancy. You can go to the clinic with your partner to test & get results. Questions about HIV? Call 0800012322.",160,"Diagnosed HIV+ and not on treatment? Get to your clinic as soon as possible to get treatment to prevent your baby getting HIV!
MAMA wants you to keep well",154,"M2M interview","M2M interview"
19,"Parent Tip","Asking for help",,,"Parent Tip","Asking for help","Friends and family may be able to help with baby clothes and equipment (like bath, blankets). Ask around. You can return the favour later.
Visit askmama.mobi",157,,,,
19,"Parent tip","Skin conditions",,,"Parent tip","Skin conditions","Hi how are you? Dark marks on your face are caused by pregnancy hormones. The sun makes them worse, so wear a hat when you go out. They will fade after birth.",158,,,"http://www.babycentre.co.uk/",
20,"Parent Tip","Rest",,,"Parent Tip","Rest","Some breathlessness is normal, as your growing uterus (womb) pushes against your lungs. Speak to the clinic if you're very short of breath.
Visit askmama.mobi",158,,,"http://www.babycentre.co.uk/",
20,"Health Indicator","STIs","Health Indicator","Barrier contraception","Health Indicator","STIs","Hi from MAMA. You're pregnant, but you still need to use a condom - to protect your baby. Sexually transmitted infections (STIs) and HIV will affect him badly.",159,"Reminder from MAMA:
Only condoms can prevent sexually transmitted diseases and HIV transmission. You can get them at clinics, pharmacies & hospitals - use them!",160,"J.N. Baurngartner et al. 2007. 'Timeliness of contraceptive reinjection in South Africa and its relation to unintentional discontinuation'. International Family Planning Perspectives. Vol.33 (2)pp.66-74

D. Cooper et al. 2005. 'Reproductive Intentions and Choices among HIV-Infected Individuals in Cape Town, South Africa: Lessons for Reproductive Policy and Service Provision from a Qualitative Study'. Women's Health Research Unit, University of Cape Town, South Africa

T. Delvaux et al. 2007. 'Reproductive Choice for Women and Men Living With HIV: Contraception, Abortion and Fertility', Reproductive Health Matters vol.15 (supplement 29), pp.46-66
Department of Health Republic of South Africa. 2002 - National Contraception Policy Guidelines
R. Heffron et al. 2012. 'Use of Hormonal Contraceptives and Risk of HIV-1 Transmission'. The Lancet. Vol.12 pp.19-26 (WHO acknowledges findings, but still upholds 2009 guidelines)
K. Holmes et al. 2004. 'Effectiveness of Condoms in Preventing Sexually Transmitted Infections'. Public Health Reviews: Bulletin of the World Health Organisation. Vol.82 (6)

WHO. UNAIDS. UNFPA. 2004. Position Statement on Condoms and HIV Prevention
WHO. 2005. Hormonal Contraception and HIV: Science and Policy
WHO. 2007. Review of Priorities in Research: Hormonal Contraception and IUDs and HIV Infection
WHO. 2009. Medical Eligibility Criteria for Contraceptive Use (guidelines upheld in 2012)
http://www.health24.com/medical/Focus_centres/777-2268-4236-4243,28039.asp","J.N. Baurngartner et al. 2007. 'Timeliness of contraceptive reinjection in South Africa and its relation to unintentional discontinuation'. International Family Planning Perspectives. Vol.33 (2)pp.66-74

D. Cooper et al. 2005. 'Reproductive Intentions and Choices among HIV-Infected Individuals in Cape Town, South Africa: Lessons for Reproductive Policy and Service Provision from a Qualitative Study'. Women's Health Research Unit, University of Cape Town, South Africa

T. Delvaux et al. 2007. 'Reproductive Choice for Women and Men Living With HIV: Contraception, Abortion and Fertility', Reproductive Health Matters vol.15 (supplement 29), pp.46-66
Department of Health Republic of South Africa. 2002 - National Contraception Policy Guidelines
R. Heffron et al. 2012. 'Use of Hormonal Contraceptives and Risk of HIV-1 Transmission'. The Lancet. Vol.12 pp.19-26 (WHO acknowledges findings, but still upholds 2009 guidelines)
K. Holmes et al. 2004. 'Effectiveness of Condoms in Preventing Sexually Transmitted Infections'. Public Health Reviews: Bulletin of the World Health Organisation. Vol.82 (6)

WHO. UNAIDS. UNFPA. 2004. Position Statement on Condoms and HIV Prevention
WHO. 2005. Hormonal Contraception and HIV: Science and Policy
WHO. 2007. Review of Priorities in Research: Hormonal Contraception and IUDs and HIV Infection
WHO. 2009. Medical Eligibility Criteria for Contraceptive Use (guidelines upheld in 2012)
http://www.health24.com/medical/Focus_centres/777-2268-4236-4243,28039.asp"
21,"Fetal Development","21 week update",,,"Fetal Development","21 week update","Happy days from MAMA. You’re half way through pregnancy! Your baby is growing and weighs as much as a small melon.
Visit askmama.mobi",133,,,"http://www.babycentre.co.uk/",
21,"Health Indicator","Malnutrition/LBW - tips on loss of appetite",,,"Health Indicator","Malnutrition/LBW - tips on loss of appetite","Good day good mom. Please eat well. So fruit, vegetables, cereals & whole grains (like brown bread & oats), meat & eggs. Don't want to eat? Try many small meals",160,,,"South African National guidelines on nutrition for people living with TB, HIV/AIDS and other chronic debilitating conditions, DoH/UNICEF, 2001
WHO, 2004, Nutrition counselling, care and support for HIV-infected women: Guidelines on HIV-related care, treatment and support for HIV-infected women and their children in resource-constrained settings

",
22,"Parent Tip","Rest",,,"Parent Tip","Rest","Growing a baby can make you feel very tired. Get as much rest as you can. Ask your family to help with shopping, cooking and cleaning.
Visit askmama.mobi",154,,,"CKS. 2008. Clinical topic: Nausea and vomiting in pregnancy - management. NHS Clinical Knowledge Summaries. www.cks.nhs.uk [Accessed May 2011]
Murray I, Hassall J. 2009. Change and adaptation in pregnancy. In: Fraser DM, Cooper MA. eds. Myles Textbook for Midwives. 15th ed. Edinburgh: Churchill Livingstone, 189-225
NHS. 2011. Common pregnancy health problems: Sleeplessness. NHS pregnancy care planner. www.nhs.uk [Accessed April 2011]
Williams MA, Miller RS, Qiu C et al. 2010. Associations of early pregnancy sleep duration with trimester-specific blood pressures and hypertensive disorders in pregnancy. SLEEP 33(10):1363-71
B. Simkhada et al 2010. ‘The Role of Mothers-in-Law in Antenatal Care Decision-making in Nepal: a qualitative study’, BMC Pregnancy and Childbirth 10:34",
22,"Health Indicator","PET",,,"Health Indicator","PET","Some women are at risk of high blood pressure and preeclampsia. Checks at the clinic can pick this up early and help avoid problems.
All the best from MAMA",155,,,"Meads CA, Cnossen JS, Meher S, Juarez-Garcia A, ter Riet G, Duley L, et al. Methods of prediction and prevention of pre-eclampsia: systematic reviews of accuracy and effectiveness literature with economic modelling. Health Technology Assessment 2008 12(6):1-270
www.babycentre.co.uk",
23,"Fetal Development","23 week update","Health Indicator","TB prophylaxis","Fetal Development","23 week update","Hi from MAMA. Your baby now sleeps and wakes in the womb/uterus. He may move at the same time each morning and wake you with his kicks.
Visit askmama.mobi",154,"Hello hope you're well. If you have HIV you can get free pills to help prevent TB. Ask at the clinic about other ways to look after yourself.
Visit askmama.mobi",160,"http://www.babycentre.co.uk/","
WHO. 2007. TB Care with TB-HIV Co-management.

CLINICAL GUIDELINES:
PMTCT (Prevention of Mother-to- Child Transmission)
2010 - SA DoH"
23,"parent tip","Clinic visits",,,"parent tip","Clinic visits","Your clinic visits may take all day. You can get a letter from the clinic for your work if you need one. (It doesn't have to say pregnancy.)
Keep strong, MAMA!",159,,,"Department of Health Republic of South Africa. 2007. Guidelines for Maternity Care in South Africa",
24,,"HIV diagnosis","Health Indicator","CD4 count",,"HIV diagnosis","If you've recently been diagnosed with HIV, get support from someone who is HIV+, an HIV organisation or your clinic. You're not alone.
Visit askmama.mobi",154,"Hi, please get your CD4 count checked during pregnancy so you know if you need special HIV medicines for the pregnancy and for your health.
Visit askmama.mobi",158,"M2M interview","Department of Health, Republic of South Africa. 2010. The South African Antiretroviral Treatment guidelines."
